n,titulo,categorias_slugs,categorias_nomes,libras,link_curso,link_thumb,tags
1,"Como criar um MOOC","educacao-a-distancia","Educação a Distância",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?como-criar-mooc","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_ComoCriarMOOC.jpg","addiem;analise;avaliacao;construcao-de-cursos;desenho-didatico;desenvolvimento;design;design-educacional;implementacao;modelo;mooc;processo;producao-de-cursos"
2,"Moodle 4 para Educadores","educacao-a-distancia","Educação a Distância",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?moodle-4-para-educadores","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2025/08/vitrine_Moodle4_Educadores.png","formacao-de-professores;mediacao;moodle;professor-mediador"
3,"Moodle 4 para Estudantes","educacao-a-distancia;tecnologias-educacionais","Educação a Distância;Tecnologias Educacionais",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?moodle-4-para-estudantes","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2025/08/unac-moodle4-estudantes-vitrine.png","aprendizagem;atividades;ava;avea;conteudos;ead;estudantes;moodle;recursos"
4,"Mediação pedagógica no Moodle","educacao-a-distancia","Educação a Distância",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?mediacao-pedagogica-no-moodle","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_mediacao_pedagogica.png","ava;avaliacao;ead;feedback;mediacao-pedagogica;mediadores;moodle;professor-mediador;tutores"
5,"Caminhos da Educação Crítica: Integração entre Pedagogia e Educação Ambiental","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?caminhos-educacao-critica-integracao-pedagogia-educacao-ambiental","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/06/vitrine_CaminhosEudcaco.png","caminhos;educacao-ambiental;educacao-critica;pedagogia"
6,"A Química dos produtos de limpeza","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?quimica-produtos-limpeza","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/06/vitrine_A-Quimica-dos-produtos-de-limpeza.png","limpeza;produtos-de-limpeza;quimica"
7,"Desafios e Caminhos da Avaliação Matemática Inclusiva","matematica","Matemática",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?desafios-caminhos-avaliacao-matematica-inclusiva","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/06/vitrine_Desafios-e-Caminhos-da-Avaliacao-Matematica-Critica.png","avaliacao;caminhos;desafios;matematica;processo-avaliativo"
8,"Uso de Realidade Aumentada no Ensino de Ciências","tecnologias-e-informatica","Tecnologias e Informática",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?realidade-aumentada-ciencias","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/05/unac_uso-de-realidade-aumentada-1.png","ensino-de-ciencias;realidade-aumentada;realidade-virtual;unac"
9,"Fundamentos da Eficiência Energética","engenharia","Engenharia",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?fundamentos-eficiencia-energetica","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/05/unac_fundamentos-da-eficiencia-energetica-1.png","eficiencia;eficiencia-energetica;energia;fundamentos;unac"
10,"Espanhol Comunicativo para Brasileiros","desenvolvimento-educacional-e-social;linguas","Desenvolvimento Educacional e Social;Línguas",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?espanhol-comunicativo","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/05/unac_espanhol-comunicativo-1.png","aprendizagem;comunicacao;conversacao;espanhol;idioma;ingles;lingua-inglesa;unac;vocabulario"
11,"PHP Essencial: Primeiros Passos na Programação Web","tecnologias-e-informatica","Tecnologias e Informática",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?php-essencial","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/05/unac_php-essencial-1.png","php;programacao;programacao-web;unac"
12,"Serviços terceirizados no setor público: penalidades e sanções","ciencias-sociais-aplicadas","Ciências Sociais Aplicadas",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?servico-terceirizado-setor-publico","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/05/unac_servicos-tercerizados-no-setor-publico-1.png","contratos;infracoes-contratuais;servicos-tercerizados;setor-publico;tercerizacao;unac"
