Unidade,Curso,Carga horaria,Tipo de curso,Matriculas,Certificados,% certificados,Tempo medio conclusao dias,Horas formacao,Classificacao popularidade
Campus Linhares,Inglês Comunicativo – Aprenda o Básico Essencial,60,Ensino,22384,2795,0.12486597569692638,58.064935064935064,167700,🔥 Muito Alta
Cefor,Moodle para Educadores,60,Ensino,11379,3799,0.33386062044116355,43.8904223019597,227940,🔥 Muito Alta
Cefor,Uso Educacional do Canva,6,Ensino,8545,3238,0.3789350497366881,25.48353439843495,19428,🔥 Muito Alta
Cefor,Google Drive: Colaboração na prática,8,Ensino,7994,4645,0.5810607955966975,17.87488986784141,37160,🟢 Alta
Cefor,Acessibilidade e Tecnologia,60,Ensino,7779,3436,0.44170201825427435,42.5722891566265,206160,🔥 Muito Alta
Cefor,Mediação Pedagógica no Moodle,60,Ensino,7187,2697,0.3752608877139279,36.95236220472441,161820,🔥 Muito Alta
Cefor,Educador Maker: Primeiros Passos,30,Ensino,6861,2951,0.430112228538114,33.57261698440208,88530,🟢 Alta
Cefor,Ferramenta para Gravação de Videoaulas,5,Ensino,6838,3462,0.506288388417666,14.356435643564357,17310,🟢 Alta
Cefor,Introdução à Libras,30,Ensino,6476,1929,0.29786905497220506,27.3316002310803,57870,🔥 Muito Alta
Cefor,Educação para as relações étnico-raciais,60,Ensino,6467,3189,0.4931189113963198,38.774815854086285,191340,🔥 Muito Alta
Cefor,Mooc de Lovelace: Programação Python e C,60,Ensino,6310,1358,0.21521394611727418,37.565292096219935,81480,🔥 Muito Alta
Campus Viana,Neurodiversidade no autismo,30,Ensino,5627,2285,0.40607783899058114,25.850113895216403,68550,🔥 Muito Alta
Cefor,Metodologias Ativas: Educação Inovadora,30,Ensino,5392,1925,0.35701038575667654,34.900935608145296,57750,🟢 Alta
Campus Ibatiba,Desvendando o Plano Educacional Individualizado (PEI),30,Ensino,5140,2093,0.40719844357976653,36.88415948275862,62790,🔥 Muito Alta
Campus Venda Nova do Imigrante,Gestão da Liderança para Melhores Resultados,60,Ensino,5107,1814,0.3551987468180928,42.28590694538099,108840,🟢 Alta
Campus Venda Nova do Imigrante,Escrita acadêmica sem sofrimento,60,Ensino,5094,1289,0.2530427954456223,36.76936026936027,77340,🔥 Muito Alta
Cefor,Educador Maker: Aprendizagem Baseada em Projetos,30,Ensino,4222,1777,0.42089057318806256,36.504634994206256,53310,🟢 Alta
Cefor,Educador Maker: ensino 'mão na massa',30,Ensino,4118,1446,0.3511413307430792,33.786318758815234,43380,🟢 Alta
Campus Aracruz,Educação Especial: aspectos introdutórios,30,Ensino,3922,1749,0.44594594594594594,29.065912117177096,52470,🔥 Muito Alta
Campus Nova Venécia,Introdução à Metodologia da Pesquisa,50,Ensino,3907,1327,0.3396467878167392,35.1900826446281,66350,🟢 Alta
Cefor,Programação Básica: Scratch,45,Ensino,3877,1015,0.26180036110394633,33.64904862579281,45675,🟡 Média
Campus Colatina,Como desenvolver bons hábitos de estudo?,15,Ensino,3832,1369,0.3572546972860125,19.57942511346445,20535,🟡 Média
Cefor,Moodle 3.9 para Educadores,60,Ensino,3566,1303,0.3653954010095345,41.50370981038747,78180,🟢 Alta
Cefor,Educação Ambiental em foco: discussões e práticas,30,Ensino,3512,1430,0.4071753986332574,25.115183246073297,42900,🟢 Alta
Cefor,Como criar um MOOC?,60,Ensino,3428,709,0.20682613768961494,53.49016641452345,42540,🟡 Média
Cefor,Mooc de Lovelace: Robótica Educacional,60,Ensino,3273,790,0.2413687748243202,38.79745042492918,47400,🟢 Alta
Cefor,Introdução a Projetos,20,Ensino,3206,911,0.28415470991890207,35.858548585485856,18220,🟡 Média
Cefor,GAMIFICAÇÃO NO MOODLE,50,Ensino,3081,659,0.21389159363842908,45.48073701842546,32950,🟡 Média
Cefor,Introdução ao Google Classroom,10,Ensino,3075,1513,0.4920325203252032,18.184120465434635,15130,🟡 Média
Cefor,"Inovação, Criatividade e Tecnologias Digitais na Educação",60,Ensino,2989,1145,0.3830712612914018,52.68142444658325,68700,🟡 Média
Cefor,ProgramaKids: Apresentando a programação para as crianças,30,Ensino,2871,364,0.12678509230233367,38.52212389380531,10920,🟡 Média
Cefor,Introdução à Educação de Surdos,30,Ensino,2861,1019,0.3561691716183153,30.835570469798657,30570,🟡 Média
Campus Linhares,Estatística com o R,30,Ensino,2713,455,0.16771102100995208,45.69059405940594,13650,🟢 Alta
Cefor,Ensino de astronomia: Reconhecimento do Céu noturno,30,Ensino,2710,657,0.24243542435424353,29.628849270664507,19710,🟡 Média
Campus Barra de São Francisco,Química para iniciantes,10,Ensino,2572,844,0.328149300155521,23.264150943396228,8440,🟡 Média
Cefor,Mooc de Lovelace do Pensamento Computacional,20,Ensino,2506,619,0.2470071827613727,33.08362369337979,12380,🟡 Média
Campus Aracruz,"Saúde mental no contexto da educação (Itinerário Formativo - Ensino de Ciências, Saúde e Ambiente)",20,Ensino,2466,777,0.3150851581508516,34.29835082458771,15540,🟢 Alta
Cefor,Realidade Virtual como apoio ao ensino,20,Ensino,2410,698,0.28962655601659754,28.422388059701493,13960,🟡 Média
Cefor,Moodle 3.9 para Estudantes,20,Ensino,2296,1485,0.6467770034843205,14.116058394160584,29700,🟡 Média
Cefor,Compreendo a Educação Profissional e Tecnológica integrada ao Ensino Médio: textos e contextos,60,Ensino,2233,883,0.3954321540528437,46.492140266021764,52980,🟡 Média
Cefor,Catalogação de softwares educacionais para o ensino de matemática,25,Ensino,2195,630,0.2870159453302961,34.41339869281046,15750,🟡 Média
Cefor,Noções de Prevenção e Combate a Incêndios,10,Ensino,2161,1184,0.5478944932901435,13.601344860710855,11840,🟡 Média
Campus Linhares,Introdução à Iniciação Científica,30,Pesquisa,2066,581,0.2812197483059051,29.65684210526316,17430,🟡 Média
Cefor,Pedagogias Ativas com Uso de Ferramentas Digitais,60,Pesquisa,2019,536,0.26547795938583457,33.01417004048583,32160,🟢 Alta
Cefor,Utilizando o Google Arts e Culture em Sala de Aula,10,Ensino,1967,791,0.40213523131672596,20.55142857142857,7910,🟠 Baixa
Campus Serra,Estratégias de Pesquisa Qualitativa – Aspectos práticos,60,Ensino,1919,461,0.24022928608650337,35.54320987654321,27660,🟡 Média
Campus Aracruz,"Licenciamento ambiental: Legislação aplicada à avaliação de impactos ambientais (Itinerário Formativo - Ensino de Ciências, Saúde e Ambiente)",20,Ensino,1875,590,0.31466666666666665,37.11479028697572,11800,🟡 Média
Cefor,Lesson Study – versão Português,60,Ensino,1696,652,0.38443396226415094,24.32236842105263,39120,🟠 Baixa
Cefor,Introdução à gestão da inovação,30,Ensino,1668,602,0.3609112709832134,28.325626204238922,18060,🟠 Baixa
Cefor,Mooc de Mary Keller: Robótica para Educadores,60,Ensino,1667,378,0.22675464907018597,46.339285714285715,22680,🟠 Baixa
Campus Ibatiba,Caminhos para a alfabetização no contexto da deficiência visual,60,Ensino,1645,486,0.29544072948328265,36.68824940047961,29160,🟡 Média
Cefor,Ferramentas Digitais para Curadoria Educacional,10,Ensino,1604,488,0.30423940149625933,23.50877192982456,4880,🟠 Baixa
Cefor,Vacinas: O que é preciso saber?,30,Ensino,1594,719,0.4510664993726474,21.366459627329192,21570,🟠 Baixa
Cefor,Estratégias de Avaliação,40,Ensino,1581,595,0.3763440860215054,28.49283154121864,23800,🟢 Alta
Campus Aracruz,Práticas Educativas em Saneamento Básico,60,Ensino,1563,546,0.3493282149712092,32.40232108317215,32760,🟠 Baixa
Campus Viana,Aprendendo a licitar com a Administração Pública,40,Ensino,1530,353,0.23071895424836603,31.682142857142857,14120,🟡 Média
Cefor,Gestão Acadêmica de Cursos de Graduação,60,Ensino,1527,298,0.1951538965291421,54.74449339207048,17880,🟠 Baixa
