n,titulo,categorias,objetivos,trilhas_candidatas,libras,link
1,"Como criar um MOOC","Educação a Distância","Inovar na sala de aula","",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?como-criar-mooc"
2,"Moodle 4 para Educadores","Educação a Distância","Inovar na sala de aula","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?moodle-4-para-educadores"
3,"Moodle 4 para Estudantes","Educação a Distância; Tecnologias Educacionais","Inovar na sala de aula","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?moodle-4-para-estudantes"
4,"Mediação pedagógica no Moodle","Educação a Distância","Inovar na sala de aula","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?mediacao-pedagogica-no-moodle"
5,"Caminhos da Educação Crítica: Integração entre Pedagogia e Educação Ambiental","Ambiente e Saúde","","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?caminhos-educacao-critica-integracao-pedagogia-educacao-ambiental"
6,"A Química dos produtos de limpeza","Ambiente e Saúde","","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?quimica-produtos-limpeza"
7,"Desafios e Caminhos da Avaliação Matemática Inclusiva","Matemática","","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?desafios-caminhos-avaliacao-matematica-inclusiva"
8,"Uso de Realidade Aumentada no Ensino de Ciências","Tecnologias e Informática","Aprender tecnologia","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?realidade-aumentada-ciencias"
9,"Fundamentos da Eficiência Energética","Engenharia","","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?fundamentos-eficiencia-energetica"
10,"Espanhol Comunicativo para Brasileiros","Desenvolvimento Educacional e Social; Línguas","Inovar na sala de aula","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?espanhol-comunicativo"
11,"PHP Essencial: Primeiros Passos na Programação Web","Tecnologias e Informática","Aprender tecnologia","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?php-essencial"
12,"Serviços terceirizados no setor público: penalidades e sanções","Ciências Sociais Aplicadas","Licença Capacitação (afinidade servidor público)","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?servico-terceirizado-setor-publico"
13,"Modelagem e Análise de Dados: regressão logística com aplicação de R","Tecnologias e Informática","Aprender tecnologia","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?modelagem-analise-dados-com-r"
14,"Saúde e Segurança do Trabalho na Indústria de Rochas Ornamentais","Ciências Exatas e da Terra","","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?saude-seguranca-trabalho-rochas-ornamentais"
15,"Intercâmbio Virtual como estratégia de Internacionalização em Casa","Desenvolvimento Educacional e Social","Inovar na sala de aula","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?intercambio-virtual-estrategia-internacionalizacao-casa"
16,"Superdotação na Escola: identificando indícios em adolescentes e adultos","Desenvolvimento Educacional e Social","Inovar na sala de aula","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?superdotacao-escola-identificando-indicios"
17,"Educação como Direito e os fundamentos para a gestão e garantia do acesso","Educação","Inovar na sala de aula; Crescer na carreira","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educacao-direito-fundamentos-garantia-acesso"
